species,animal_id,t,body_temp_c,heart_rate_bpm,resp_rate_bpm,activity_idx,cough_count,rumination_min,ambient_temp_c,ambient_humidity_pct,label
Cattle,CA_000,46,39.767,61.08,30.33,0.208,6,27.97,20.25,47.47,1
Cattle,CA_000,47,38.72,51.7,23.5,0.58,0,42.37,20.23,53.68,0
Cattle,CA_000,48,38.742,53.84,25.31,0.57,0,44.98,21.93,56.76,0
Cattle,CA_000,49,38.851,49.83,27.09,0.541,1,42.37,22.28,57.73,0
Cattle,CA_000,50,38.812,55.6,26.89,0.588,0,45.22,23.97,63.77,0
Cattle,CA_000,51,38.887,52.81,26.13,0.576,0,43.56,26.58,64.68,0
Cattle,CA_000,52,39.964,69.85,34.5,0.128,2,33.67,27.26,55.58,1
Cattle,CA_000,53,39.059,53.77,26.63,0.61,0,44.08,28.17,72.76,0
Cattle,CA_000,54,39.107,53.14,25.93,0.527,0,40.56,27.99,62.38,0
Cattle,CA_000,55,38.875,48.08,27.45,0.578,0,44.08,27.09,72.39,0
Cattle,CA_000,56,38.776,49.48,23.69,0.561,0,45.44,27.69,80.12,0
Cattle,CA_000,57,38.915,51.41,25.22,0.47,0,46.27,26.4,78.83,0
Cattle,CA_000,58,39.845,68.1,33.4,0.256,2,27.93,25.63,70.99,1
Cattle,CA_000,59,40.008,59.75,32.64,0.302,3,33.11,23.08,77.39,1
Cattle,CA_000,60,39.301,56.99,31.57,0.309,3,36.86,20.96,77.51,1
Cattle,CA_000,61,38.737,51.8,27.52,0.55,0,40.0,21.72,72.97,0
Cattle,CA_000,62,38.713,46.85,24.79,0.614,0,41.94,17.31,74.15,0
Cattle,CA_000,63,38.728,50.38,24.46,0.549,0,44.52,18.01,70.06,0
Cattle,CA_000,64,39.473,62.99,31.64,0.187,7,24.59,17.0,65.49,1
Cattle,CA_000,65,39.918,59.57,36.29,0.341,4,30.57,14.99,55.8,1
Cattle,CA_000,66,38.676,50.5,23.24,0.523,0,43.73,16.21,60.03,0
Cattle,CA_000,67,38.807,47.99,25.17,0.445,0,47.34,16.36,56.16,0
Cattle,CA_000,68,38.716,49.51,25.58,0.516,1,43.44,15.04,59.34,0
Cattle,CA_000,69,38.56,49.26,25.27,0.556,0,46.14,16.71,62.2,0
Cattle,CA_000,70,38.601,46.83,24.41,0.549,0,41.88,18.22,57.48,0
Cattle,CA_000,71,39.738,66.64,31.7,0.286,1,31.55,19.58,59.76,1
Cattle,CA_001,0,39.461,72.28,25.84,0.382,3,24.82,21.74,50.29,1
Cattle,CA_001,1,39.364,71.76,29.0,0.461,0,28.2,22.47,58.54,1
Cattle,CA_001,2,38.685,59.82,23.96,0.47,1,43.43,25.23,53.66,0
Cattle,CA_001,3,39.613,72.51,29.57,0.351,6,27.84,24.45,61.93,1
Cattle,CA_001,4,39.658,73.18,30.17,0.363,5,26.44,26.69,59.55,1
Cattle,CA_001,5,38.69,58.69,23.72,0.624,0,41.34,28.94,66.27,0
Cattle,CA_001,6,38.598,57.83,22.73,0.602,0,42.4,27.47,64.93,0
Cattle,CA_001,7,38.522,59.64,23.74,0.611,0,44.96,27.4,69.73,0
Cattle,CA_001,8,38.587,58.42,22.93,0.591,1,42.21,26.53,66.24,0
Cattle,CA_001,9,39.308,71.13,28.34,0.234,7,32.11,25.02,68.96,1
Cattle,CA_001,10,39.94,71.49,26.9,0.4,1,33.3,26.21,70.3,1
Cattle,CA_001,11,38.763,60.96,21.58,0.46,0,43.86,26.61,71.85,0
Cattle,CA_001,12,38.553,60.57,23.4,0.556,0,43.03,22.31,69.35,0
Cattle,CA_001,13,38.412,60.3,22.7,0.596,1,44.07,20.11,72.92,0
Cattle,CA_001,14,38.252,61.06,20.51,0.555,0,46.65,18.68,71.73,0
Cattle,CA_001,15,39.478,77.62,28.68,0.248,1,31.87,16.73,71.19,1
Cattle,CA_001,16,39.44,72.85,30.77,0.329,2,30.76,18.01,62.46,1
Cattle,CA_001,17,38.303,60.13,21.13,0.527,0,41.81,15.57,69.58,0
Cattle,CA_001,18,39.8,73.29,30.71,0.252,5,27.9,16.57,64.0,1
Cattle,CA_001,19,39.348,75.4,33.68,0.317,5,29.6,17.13,58.58,1
Cattle,CA_001,20,38.426,58.63,20.86,0.598,0,41.99,14.83,63.16,0
Cattle,CA_001,21,39.046,70.89,31.35,0.396,4,30.62,18.34,53.61,1
Cattle,CA_001,22,39.556,70.61,30.05,0.319,5,30.99,17.76,56.25,1
Cattle,CA_001,23,38.454,63.28,22.73,0.678,1,48.49,20.85,54.75,0
Cattle,CA_001,24,38.43,60.96,25.47,0.54,0,39.77,21.76,62.8,0
Cattle,CA_001,25,38.576,60.41,23.97,0.563,0,44.68,23.97,61.72,0
Cattle,CA_001,26,38.595,59.63,22.65,0.605,0,44.85,26.4,61.28,0
Cattle,CA_001,27,38.731,62.14,25.19,0.558,0,40.56,26.96,61.07,0
Cattle,CA_001,28,39.401,79.55,27.53,0.394,4,33.4,26.78,64.45,1
Cattle,CA_001,29,38.534,61.71,23.68,0.588,1,41.7,27.62,68.52,0
Cattle,CA_001,30,38.447,61.69,23.16,0.649,1,39.72,27.42,70.62,0
Cattle,CA_001,31,38.617,60.17,22.27,0.526,0,43.88,27.21,61.06,0
Cattle,CA_001,32,39.557,69.83,28.88,0.379,1,24.41,26.48,75.06,1
Cattle,CA_001,33,39.235,68.49,30.54,0.358,3,31.74,25.54,81.84,1
Cattle,CA_001,34,39.953,73.8,28.46,0.452,2,35.29,25.37,71.65,1
Cattle,CA_001,35,38.549,63.46,23.6,0.574,0,41.06,24.97,76.73,0
Cattle,CA_001,36,38.411,61.46,22.6,0.606,0,42.86,20.24,72.27,0
Cattle,CA_001,37,39.682,71.66,29.21,0.226,4,30.7,19.16,68.14,1
Cattle,CA_001,38,38.53,61.29,22.07,0.636,0,44.59,19.58,67.6,0
Cattle,CA_001,39,38.504,61.96,21.55,0.602,1,45.89,17.24,58.7,0
Cattle,CA_001,40,38.447,58.41,22.38,0.615,0,40.82,15.08,66.87,0
Cattle,CA_001,41,38.466,63.75,22.01,0.595,1,38.55,15.66,62.99,0
Cattle,CA_001,42,38.406,59.46,21.84,0.572,0,39.52,16.38,63.74,0
Cattle,CA_001,43,38.44,60.49,23.52,0.542,0,42.37,14.09,50.24,0
Cattle,CA_001,44,38.406,55.62,21.94,0.461,0,45.33,15.7,57.44,0
Cattle,CA_001,45,38.527,61.06,23.96,0.5,0,41.07,18.75,61.9,0
Cattle,CA_001,46,38.423,60.62,23.14,0.497,1,45.06,17.16,55.61,0
Cattle,CA_001,47,38.589,58.75,22.45,0.582,0,44.96,19.81,48.0,0
Cattle,CA_001,48,38.54,61.77,22.2,0.475,0,42.53,23.62,51.52,0
Cattle,CA_001,49,39.74,70.81,28.67,0.244,2,26.42,22.69,49.35,1
Cattle,CA_001,50,39.837,77.36,31.22,0.385,4,25.54,25.09,55.79,1
Cattle,CA_001,51,39.592,69.06,30.82,0.394,1,22.98,26.5,57.06,1
Cattle,CA_001,52,39.638,77.81,30.64,0.298,1,28.71,25.46,64.14,1
Cattle,CA_001,53,38.4,61.91,22.13,0.625,2,42.28,27.9,65.02,0
Cattle,CA_001,54,38.383,63.96,21.91,0.531,0,43.48,26.43,57.28,0
Cattle,CA_001,55,38.623,65.28,24.22,0.464,1,43.15,28.91,71.51,0
Cattle,CA_001,56,38.781,58.54,23.3,0.564,0,44.45,27.78,73.51,0
Cattle,CA_001,57,38.447,62.28,22.08,0.591,0,47.08,27.13,74.41,0
Cattle,CA_001,58,39.412,78.79,30.06,0.316,1,26.0,25.41,78.61,1
Cattle,CA_001,59,38.662,60.05,26.59,0.548,0,42.37,23.97,73.03,0
Cattle,CA_001,60,38.441,59.65,22.08,0.589,0,45.66,21.89,79.21,0
Cattle,CA_001,61,39.268,69.52,30.94,0.251,1,28.24,20.36,72.53,1
Cattle,CA_001,62,38.56,62.65,22.9,0.579,0,42.62,20.37,74.57,0
Cattle,CA_001,63,38.585,59.33,22.77,0.5,0,46.86,17.76,71.41,0
Cattle,CA_001,64,38.561,61.14,21.83,0.549,0,40.86,17.35,71.88,0
Cattle,CA_001,65,38.297,54.89,22.25,0.642,1,46.22,17.21,58.72,0
Cattle,CA_001,66,38.511,59.93,21.99,0.619,0,42.38,17.13,62.33,0
Cattle,CA_001,67,38.475,56.67,21.93,0.538,0,42.62,17.75,54.83,0
Cattle,CA_001,68,39.674,74.94,28.27,0.326,0,27.1,18.12,51.97,1
Cattle,CA_001,69,38.57,58.25,21.72,0.605,0,46.35,19.75,59.35,0
Cattle,CA_001,70,38.341,66.08,24.01,0.601,0,41.87,18.05,57.74,0
Cattle,CA_001,71,39.789,72.44,28.14,0.246,2,31.16,21.61,54.85,1
Cattle,CA_002,0,38.442,61.57,24.23,0.578,0,42.84,20.55,57.42,0
Cattle,CA_002,1,38.636,59.45,20.94,0.548,0,42.37,25.32,66.69,0
Cattle,CA_002,2,39.77,68.4,32.93,0.34,2,20.02,24.41,54.17,1
Cattle,CA_002,3,38.664,59.09,23.85,0.52,0,37.31,24.63,66.73,0
Cattle,CA_002,4,38.747,60.09,23.79,0.575,0,41.99,28.19,64.82,0
Cattle,CA_002,5,39.781,66.62,31.68,0.303,8,25.7,27.15,70.57,1
Cattle,CA_002,6,38.653,58.1,23.48,0.656,0,42.81,28.99,65.66,0
Cattle,CA_002,7,38.531,61.26,24.48,0.545,0,37.83,28.51,80.32,0
Cattle,CA_002,8,38.74,60.92,25.65,0.631,0,39.84,26.73,65.59,0
Cattle,CA_002,9,38.798,60.96,24.38,0.591,0,40.9,24.38,79.62,0
Cattle,CA_002,10,39.81,72.58,29.01,0.448,1,31.69,26.93,72.25,1
Cattle,CA_002,11,38.596,59.92,22.75,0.592,0,43.12,24.56,70.37,0
Cattle,CA_002,12,38.628,57.57,23.74,0.662,1,39.73,21.97,80.41,0
Cattle,CA_002,13,39.976,71.18,29.61,0.182,4,33.24,20.35,67.18,1
Cattle,CA_002,14,39.666,68.52,31.97,0.298,2,23.54,20.14,65.41,1
Cattle,CA_002,15,39.732,74.99,32.49,0.149,3,27.64,18.49,65.06,1
Cattle,CA_002,16,38.452,59.79,21.44,0.513,0,43.41,16.71,73.37,0
Cattle,CA_002,17,38.605,60.54,21.21,0.615,0,43.22,16.28,73.97,0
Cattle,CA_002,18,38.314,58.98,22.67,0.589,0,42.71,15.91,59.93,0
Cattle,CA_002,19,39.365,73.18,30.61,0.403,4,25.36,15.59,62.23,1
Cattle,CA_002,20,38.274,55.88,21.77,0.609,1,41.84,16.01,50.94,0
Cattle,CA_002,21,39.695,72.35,24.85,0.388,6,27.21,18.23,58.02,1
Cattle,CA_002,22,39.686,69.93,28.28,0.243,2,19.36,18.68,51.58,1
Cattle,CA_002,23,39.344,70.53,31.17,0.349,2,33.54,19.56,57.78,1
Cattle,CA_002,24,39.447,65.6,29.93,0.468,6,29.89,21.27,56.33,1
Cattle,CA_002,25,39.889,69.52,28.67,0.218,5,27.41,22.06,54.9,1
Cattle,CA_002,26,39.433,72.71,28.63,0.352,2,33.13,24.41,64.65,1
Cattle,CA_002,27,39.994,74.36,30.96,0.346,0,24.9,25.86,61.71,1
Cattle,CA_002,28,39.682,77.37,29.35,0.327,1,33.87,27.76,73.23,1
Cattle,CA_002,29,38.703,60.35,23.49,0.585,0,41.85,28.18,74.07,0
Cattle,CA_002,30,38.673,60.9,23.06,0.526,0,40.93,29.58,72.47,0
Cattle,CA_002,31,38.741,58.68,23.06,0.549,0,41.39,27.65,73.23,0
Cattle,CA_002,32,39.708,76.38,26.28,0.214,3,24.76,26.84,72.94,1
Cattle,CA_002,33,39.589,70.43,30.26,0.326,5,24.38,25.76,76.42,1
Cattle,CA_002,34,38.784,60.63,24.6,0.562,0,38.14,24.44,74.43,0
Cattle,CA_002,35,38.523,60.0,22.82,0.587,0,42.95,24.1,72.38,0
Cattle,CA_002,36,38.521,60.48,23.46,0.641,2,41.97,20.98,69.79,0
Cattle,CA_002,37,39.139,69.83,29.14,0.296,0,25.56,21.89,76.54,1
Cattle,CA_002,38,39.274,76.06,31.33,0.307,5,29.99,18.88,74.3,1
Cattle,CA_002,39,39.878,70.05,26.51,0.436,2,29.71,18.9,69.87,1
Cattle,CA_002,40,39.957,73.52,30.23,0.261,3,31.11,16.52,62.34,1
Cattle,CA_002,41,38.315,57.64,23.05,0.545,0,43.56,15.16,62.41,0
Cattle,CA_002,42,39.414,65.44,31.04,0.335,3,27.1,17.04,56.37,1
Cattle,CA_002,43,39.538,69.03,29.87,0.317,4,28.89,15.05,66.21,1
Cattle,CA_002,44,38.638,56.98,21.17,0.596,0,40.8,16.13,55.96,0
Cattle,CA_002,45,39.568,70.51,28.34,0.306,2,25.8,17.14,45.92,1
Cattle,CA_002,46,39.211,66.23,29.67,0.357,6,22.48,20.52,49.38,1
Cattle,CA_002,47,39.526,69.21,29.4,0.422,2,28.32,21.24,57.37,1
Cattle,CA_002,48,39.976,70.65,30.84,0.283,4,21.42,22.28,55.13,1
Cattle,CA_002,49,39.215,75.71,28.13,0.348,4,30.0,22.35,58.31,1
Cattle,CA_002,50,38.55,58.83,24.26,0.553,0,45.41,24.57,55.78,0
Cattle,CA_002,51,38.599,58.39,23.17,0.598,0,41.06,25.06,57.02,0
Cattle,CA_002,52,38.694,59.55,24.6,0.587,0,44.02,25.33,73.12,0
Cattle,CA_002,53,38.802,58.51,24.03,0.559,0,38.75,27.57,70.26,0
Cattle,CA_002,54,38.742,59.71,23.48,0.618,0,41.48,27.93,65.15,0
Cattle,CA_002,55,38.465,53.39,23.69,0.561,0,41.51,28.61,69.65,0
Cattle,CA_002,56,38.594,58.16,23.72,0.655,0,43.77,28.06,80.15,0
Cattle,CA_002,57,39.797,72.57,31.9,0.273,4,24.49,25.06,76.09,1
Cattle,CA_002,58,39.932,73.78,29.12,0.256,1,22.26,26.58,75.59,1
Cattle,CA_002,59,38.756,61.51,23.34,0.626,0,42.31,22.98,73.24,0
Cattle,CA_002,60,38.735,55.67,24.09,0.566,0,42.5,21.44,64.0,0
Cattle,CA_002,61,38.512,59.42,24.23,0.562,1,42.8,19.4,81.4,0
Cattle,CA_002,62,38.658,54.27,23.18,0.578,0,38.81,18.44,73.11,0
Cattle,CA_002,63,38.39,58.62,22.75,0.561,0,41.02,16.35,65.98,0
Cattle,CA_002,64,39.831,70.12,28.05,0.371,3,27.11,17.14,62.57,1
Cattle,CA_002,65,39.342,65.43,29.31,0.375,1,34.56,16.89,60.35,1
Cattle,CA_002,66,39.539,65.72,29.28,0.381,2,28.57,14.74,58.56,1
Cattle,CA_002,67,39.162,71.5,30.35,0.325,3,32.5,16.01,50.97,1
Cattle,CA_002,68,39.532,73.95,31.81,0.287,1,31.79,13.46,52.11,1
Cattle,CA_002,69,39.44,66.29,27.66,0.247,7,28.14,20.17,61.82,1
Cattle,CA_002,70,39.545,68.28,29.6,0.315,2,30.5,20.92,59.66,1
Cattle,CA_002,71,38.367,59.2,22.51,0.51,0,42.92,22.08,62.35,0
Cattle,CA_003,0,39.594,63.08,33.61,0.31,6,27.14,22.73,61.3,1
Cattle,CA_003,1,39.209,70.12,31.1,0.404,3,20.89,22.98,56.77,1
Cattle,CA_003,2,39.604,68.25,29.49,0.229,2,25.68,25.16,55.42,1
Cattle,CA_003,3,38.753,51.17,24.07,0.636,1,41.12,25.95,59.98,0
Cattle,CA_003,4,39.798,69.11,32.5,0.343,4,29.67,27.03,71.45,1
Cattle,CA_003,5,39.289,64.12,32.6,0.317,2,23.59,28.69,69.88,1
Cattle,CA_003,6,38.473,58.93,24.68,0.576,0,40.4,28.89,67.82,0
Cattle,CA_003,7,38.405,55.46,22.99,0.686,0,39.25,28.74,75.33,0
Cattle,CA_003,8,38.511,55.36,25.78,0.76,0,37.68,28.96,77.87,0
Cattle,CA_003,9,38.535,54.49,24.18,0.684,0,41.42,27.47,72.26,0
Cattle,CA_003,10,38.528,58.41,24.55,0.569,0,41.31,24.14,74.61,0
Cattle,CA_003,11,38.458,55.12,24.86,0.643,0,38.63,23.04,78.43,0
Cattle,CA_003,12,38.528,57.8,23.69,0.628,0,38.05,22.07,65.59,0
Cattle,CA_003,13,39.229,61.14,34.34,0.451,3,29.61,18.28,63.87,1
Cattle,CA_003,14,39.195,64.77,30.13,0.328,4,23.3,18.83,74.8,1
Cattle,CA_003,15,39.75,63.0,29.07,0.352,7,33.45,17.4,65.14,1
Cattle,CA_003,16,38.249,57.54,25.11,0.652,0,39.86,16.76,69.68,0
Cattle,CA_003,17,38.493,51.08,23.99,0.588,0,39.82,16.84,54.83,0
Cattle,CA_003,18,38.969,66.75,30.81,0.422,4,25.73,15.2,64.0,1
Cattle,CA_003,19,39.452,66.04,32.07,0.565,1,25.9,14.91,63.07,1
Cattle,CA_003,20,39.511,62.18,32.18,0.357,5,26.58,17.95,63.47,1
Cattle,CA_003,21,38.322,53.48,23.15,0.647,0,37.39,18.29,47.91,0
Cattle,CA_003,22,39.48,71.56,33.43,0.312,4,23.44,18.84,50.86,1
Cattle,CA_003,23,39.347,69.5,34.44,0.368,6,22.12,19.23,51.21,1
Cattle,CA_003,24,38.467,54.89,23.77,0.649,0,41.67,23.05,60.75,0
Cattle,CA_003,25,38.46,56.23,26.9,0.632,1,39.25,23.41,59.42,0
Cattle,CA_003,26,38.604,57.06,24.29,0.615,0,44.82,24.64,64.6,0
Cattle,CA_003,27,38.47,57.16,22.74,0.621,0,43.53,25.94,66.42,0
Cattle,CA_003,28,38.472,56.94,25.28,0.527,0,42.13,26.53,65.49,0
Cattle,CA_003,29,38.51,58.05,26.23,0.623,0,40.28,27.74,66.46,0
Cattle,CA_003,30,39.771,72.22,31.47,0.234,4,25.46,29.36,80.84,1
Cattle,CA_003,31,38.51,54.92,25.95,0.67,0,40.9,28.39,73.73,0
Cattle,CA_003,32,38.728,55.86,24.41,0.615,0,41.49,28.72,68.97,0
Cattle,CA_003,33,38.437,57.61,23.89,0.549,0,40.13,26.28,79.61,0
Cattle,CA_003,34,38.489,58.72,24.4,0.735,1,38.41,24.69,61.61,0
Cattle,CA_003,35,38.415,56.25,25.04,0.62,0,40.91,24.32,73.03,0
Cattle,CA_003,36,39.537,75.05,33.32,0.295,5,29.88,21.3,88.5,1
Cattle,CA_003,37,39.674,70.73,29.61,0.468,3,25.05,22.11,66.25,1
Cattle,CA_003,38,39.119,62.86,31.34,0.375,3,30.19,18.3,73.03,1
Cattle,CA_003,39,38.328,54.42,23.2,0.652,0,43.0,18.58,72.94,0
Cattle,CA_003,40,38.247,50.36,24.68,0.508,0,42.59,16.24,57.55,0
Cattle,CA_003,41,38.336,52.44,23.31,0.634,0,40.63,18.12,62.87,0
Cattle,CA_003,42,38.331,58.64,22.85,0.652,0,40.66,15.61,69.16,0
Cattle,CA_003,43,39.113,71.63,31.43,0.421,3,23.65,17.04,61.54,1
Cattle,CA_003,44,39.52,66.27,30.78,0.303,4,24.59,18.83,62.08,1
Cattle,CA_003,45,39.172,61.61,31.15,0.315,4,28.89,17.78,52.75,1
Cattle,CA_003,46,39.674,65.91,29.94,0.252,1,28.65,18.55,47.13,1
Cattle,CA_003,47,38.242,52.9,25.21,0.497,0,41.7,17.68,67.37,0
Cattle,CA_003,48,39.459,70.2,33.03,0.302,4,27.08,23.15,59.81,1
Cattle,CA_003,49,38.37,52.24,24.11,0.557,0,38.47,22.8,58.5,0
Cattle,CA_003,50,39.324,68.24,26.47,0.303,3,28.54,26.08,60.71,1
Cattle,CA_003,51,38.493,59.19,27.14,0.611,0,41.97,26.34,60.75,0
Cattle,CA_003,52,39.234,69.26,32.48,0.517,1,28.18,27.23,56.85,1
Cattle,CA_003,53,38.618,53.01,22.88,0.568,0,42.83,28.95,69.42,0
Cattle,CA_003,54,38.49,55.96,24.87,0.603,0,38.16,28.86,69.89,0
Cattle,CA_003,55,38.476,56.17,25.39,0.59,0,38.55,29.07,72.66,0
Cattle,CA_003,56,38.627,53.9,23.77,0.56,0,40.61,27.71,66.77,0
Cattle,CA_003,57,38.485,55.42,23.6,0.586,0,38.58,26.91,68.28,0
Cattle,CA_003,58,39.723,68.0,29.44,0.425,1,27.97,23.66,79.66,1
Cattle,CA_003,59,39.395,67.34,28.5,0.3,3,24.65,24.49,76.12,1
Cattle,CA_003,60,39.098,68.47,29.3,0.482,2,29.62,21.28,70.87,1
Cattle,CA_003,61,38.384,54.7,25.6,0.56,0,40.01,20.51,76.85,0
Cattle,CA_003,62,38.166,54.38,24.75,0.602,0,42.43,18.21,71.66,0
Cattle,CA_003,63,39.406,65.12,33.71,0.363,3,25.88,18.1,59.38,1
Cattle,CA_003,64,39.508,72.1,30.05,0.234,2,21.22,15.45,62.62,1
Cattle,CA_003,65,38.276,56.03,23.22,0.574,0,34.81,15.31,54.25,0
Cattle,CA_003,66,38.249,52.42,23.06,0.564,1,41.75,14.57,57.37,0
Cattle,CA_003,67,38.258,56.51,25.59,0.603,0,41.13,17.32,51.65,0
Cattle,CA_003,68,38.286,56.27,23.95,0.709,0,37.56,17.37,69.39,0
Cattle,CA_003,69,38.146,52.7,24.05,0.687,0,40.92,19.91,63.81,0
Cattle,CA_003,70,38.358,54.9,24.52,0.658,0,43.01,19.35,62.25,0
Cattle,CA_003,71,38.405,54.76,23.93,0.64,0,39.92,21.02,54.93,0
Cattle,CA_004,0,39.534,75.33,32.54,0.276,2,27.74,22.64,58.09,1
Cattle,CA_004,1,39.451,71.35,32.75,0.129,3,25.2,24.96,51.85,1
Cattle,CA_004,2,39.647,65.96,34.49,0.277,4,32.53,24.14,68.1,1
Cattle,CA_004,3,39.918,80.89,32.0,0.26,1,30.31,27.68,69.12,1
Cattle,CA_004,4,38.522,60.77,22.99,0.498,0,44.24,26.37,62.12,0
Cattle,CA_004,5,38.467,61.32,24.46,0.488,1,43.45,27.72,60.79,0
Cattle,CA_004,6,38.868,62.25,27.32,0.555,1,42.95,30.1,78.16,0
Cattle,CA_004,7,39.453,72.83,30.09,0.202,3,30.27,29.3,70.92,1
Cattle,CA_004,8,39.529,72.28,32.52,0.375,2,32.02,27.17,81.9,1
Cattle,CA_004,9,38.625,57.94,25.1,0.559,2,43.27,26.26,75.65,0
Cattle,CA_004,10,38.674,60.17,24.9,0.575,1,45.2,24.49,78.2,0
Cattle,CA_004,11,39.266,69.11,29.7,0.449,3,29.64,23.21,69.8,1
Cattle,CA_004,12,39.678,67.39,31.61,0.386,1,29.13,20.41,72.74,1
Cattle,CA_004,13,39.399,72.38,30.24,0.273,3,31.53,19.87,63.28,1
Cattle,CA_004,14,39.583,77.12,29.67,0.482,7,29.72,20.76,72.81,1
Cattle,CA_004,15,38.455,61.15,23.9,0.451,1,45.61,17.05,63.94,0
Cattle,CA_004,16,38.306,57.47,23.56,0.558,1,44.87,17.87,61.23,0
Cattle,CA_004,17,38.462,62.22,23.43,0.42,0,45.26,16.71,65.72,0
Cattle,CA_004,18,39.294,70.29,28.03,0.314,3,33.58,16.92,54.52,1
Cattle,CA_004,19,39.55,68.72,31.49,0.062,1,32.56,17.26,58.58,1
Cattle,CA_004,20,39.448,73.38,31.2,0.198,4,25.62,17.23,56.42,1
Cattle,CA_004,21,39.498,68.63,27.26,0.255,3,24.31,17.15,51.74,1
Cattle,CA_004,22,39.553,68.54,30.4,0.359,3,24.68,18.88,53.53,1
Cattle,CA_004,23,39.17,77.28,32.66,0.258,4,26.87,18.2,43.11,1
Cattle,CA_004,24,38.546,57.57,23.87,0.528,0,41.45,20.76,60.91,0
Cattle,CA_004,25,39.662,72.37,32.44,0.199,2,26.41,23.52,47.2,1
